country,date,incidence,T
Austria,2021-11-24,1565.999,
Austria,2022-03-19,5122.862,16.428571428571427
Austria,2022-07-22,1365.031,17.857142857142858
Canada,2022-01-08,1097.179,
Canada,2022-04-13,289.746,13.571428571428571
Canada,2022-07-30,123.939,15.428571428571429
Croatia,2022-01-27,2210.614,
Croatia,2022-07-27,340.841,25.857142857142858
Croatia,2022-10-05,169.712,10.0
Czechia,2021-11-26,1845.002,
Czechia,2022-02-02,4316.062,9.714285714285714
Czechia,2022-07-28,317.76,25.142857142857142
Czechia,2022-09-28,365.175,8.857142857142858
Denmark,2022-02-14,7877.367,
Denmark,2022-07-13,398.341,21.285714285714285
France,2022-01-26,5491.328,
France,2022-04-02,2135.391,9.428571428571429
France,2022-07-11,1994.01,14.285714285714286
Germany,2021-11-29,691.154,
Germany,2022-03-24,2797.178,16.428571428571427
Germany,2022-07-19,1162.882,16.714285714285715
Israel,2022-01-26,8003.266,
Israel,2022-07-05,1149.434,22.857142857142858
Italy,2022-01-15,3079.768,
Italy,2022-03-30,1220.743,10.571428571428571
Italy,2022-07-15,1767.325,15.285714285714286
Lithuania,2022-02-05,4618.5,
Lithuania,2022-08-23,529.443,28.428571428571427
Netherlands,2021-11-29,1277.97,
Netherlands,2022-02-13,7134.593,10.857142857142858
Netherlands,2022-07-14,354.288,21.571428571428573
Poland,2021-12-07,587.692,
Poland,2022-02-02,1231.226,8.142857142857142
Poland,2022-09-19,115.168,32.714285714285715
Portugal,2022-01-30,5713.419,
Portugal,2022-05-22,2677.451,16.0
Portugal,2022-09-26,270.085,18.142857142857142
Spain,2022-01-15,2985.097,
Spain,2022-05-11,381.908,16.571428571428573
Spain,2022-07-09,466.885,8.428571428571429
Sweden,2022-01-29,3855.458,
Sweden,2022-08-19,94.115,28.857142857142858
Sweden,2022-10-02,184.48,6.285714285714286
Switzerland,2022-01-28,4105.026,
Switzerland,2022-03-16,3235.949,6.714285714285714
Switzerland,2022-07-11,906.947,16.714285714285715
United States,2022-01-17,2393.614,
United States,2022-05-28,313.594,18.714285714285715
United States,2022-07-31,400.326,9.142857142857142
